                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49857,                0.66249,                0.89533,                 0.9979,                      1,                  0.995,                0.93196,                 0.3876,                0.41204,                0.87834,                0.00012,                0.00012,                0.00012
                      2,                0.52546,                   0.64,                0.86252,                0.99795,                      1,                  0.995,                0.92558,                0.41468,                0.42935,                0.88375,              0.0002497,              0.0002497,              0.0002497
                      3,                0.51942,                0.62699,                0.88766,                0.99798,                      1,                  0.995,                0.93011,                0.38144,                0.41216,                0.87812,             0.00036832,             0.00036832,             0.00036832
                      4,                0.53396,                0.62203,                0.91577,                0.99782,                      1,                  0.995,                0.90647,                0.40951,                0.45609,                0.89364,             0.00047585,             0.00047585,             0.00047585
                      5,                0.56462,                0.64466,                 0.9045,                 0.9973,                      1,                  0.995,                0.86978,                0.50044,                0.52343,                 0.9193,             0.00057229,             0.00057229,             0.00057229
                      6,                0.54247,                0.60733,                0.90161,                0.99046,                      1,                  0.995,                0.87295,                0.49634,                0.76841,                0.91849,             0.00065764,             0.00065764,             0.00065764
                      7,                0.53031,                0.62009,                0.89248,                0.99083,                      1,                  0.995,                0.91314,                0.46919,                 0.9329,                 0.9078,              0.0007319,              0.0007319,              0.0007319
                      8,                0.54595,                0.61218,                0.90663,                0.99311,                      1,                  0.995,                0.91018,                0.47717,                0.81252,                0.91234,             0.00079508,             0.00079508,             0.00079508
                      9,                0.58664,                0.60893,                0.93688,                0.99546,                      1,                  0.995,                0.86011,                0.53749,                0.57448,                 0.9409,             0.00084717,             0.00084717,             0.00084717
                     10,                0.57164,                0.59078,                0.90483,                0.99259,                      1,                  0.995,                0.84638,                0.55987,                0.49487,                0.94176,             0.00088817,             0.00088817,             0.00088817
                     11,                0.65371,                0.65163,                0.95006,                0.99713,                      1,                  0.995,                0.81999,                0.61846,                0.50813,                0.96412,             0.00091808,             0.00091808,             0.00091808
                     12,                0.57949,                0.59953,                0.93232,                0.99672,                      1,                  0.995,                0.85389,                0.61967,                0.47018,                0.95074,              0.0009369,              0.0009369,              0.0009369
                     13,                0.56074,                0.56356,                0.94736,                0.99517,                      1,                  0.995,                0.84509,                 0.6401,                0.48142,                0.94838,             0.00094464,             0.00094464,             0.00094464
                     14,                0.52332,                 0.5515,                0.88624,                0.99712,                      1,                  0.995,                0.87724,                0.53767,                0.48056,                0.92488,             0.00094129,             0.00094129,             0.00094129
                     15,                 0.5711,                0.58052,                0.90162,                0.99646,                      1,                  0.995,                0.88574,                0.47489,                0.45677,                0.90773,              0.0008912,              0.0008912,              0.0008912
                     16,                0.52626,                0.55277,                0.89202,                0.99662,                      1,                  0.995,                0.90785,                0.46872,                0.42207,                0.91882,               0.000812,               0.000812,               0.000812
                     17,                0.49022,                0.52575,                 0.8697,                0.99722,                      1,                  0.995,                0.91088,                0.46093,                 0.4076,                 0.9272,              0.0007328,              0.0007328,              0.0007328
                     18,                0.50701,                0.51464,                 0.8745,                0.99686,                      1,                  0.995,                0.90096,                0.47363,                0.34224,                0.92685,              0.0006536,              0.0006536,              0.0006536
                     19,                0.48524,                0.49016,                 0.8548,                0.99741,                      1,                  0.995,                0.89417,                0.47487,                0.30848,                0.91991,              0.0005744,              0.0005744,              0.0005744
                     20,                0.49551,                0.49127,                  0.882,                0.99751,                      1,                  0.995,                0.89819,                0.47055,                0.30156,                0.91385,              0.0004952,              0.0004952,              0.0004952
                     21,                 0.4773,                0.48353,                0.87257,                0.99779,                      1,                  0.995,                0.89878,                0.46241,                0.30029,                0.91153,               0.000416,               0.000416,               0.000416
                     22,                0.43785,                0.46145,                0.86877,                0.99792,                      1,                  0.995,                0.88888,                0.45023,                0.29363,                0.90425,              0.0003368,              0.0003368,              0.0003368
                     23,                0.40491,                0.43163,                0.82604,                0.99794,                      1,                  0.995,                 0.9125,                0.42974,                0.28871,                0.89841,              0.0002576,              0.0002576,              0.0002576
                     24,                0.47222,                0.46944,                0.87688,                0.99798,                      1,                  0.995,                0.91927,                 0.4214,                 0.2771,                0.89484,              0.0001784,              0.0001784,              0.0001784
                     25,                0.45157,                0.44724,                0.83819,                0.99797,                      1,                  0.995,                0.91829,                0.41834,                0.27295,                0.89446,               9.92e-05,               9.92e-05,               9.92e-05
