                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56439,                0.68799,                0.90383,                0.99733,                      1,                  0.995,                0.94708,                0.34025,                0.43578,                0.83109,                0.00012,                0.00012,                0.00012
                      2,                0.57737,                0.67227,                 0.9152,                0.99778,                      1,                  0.995,                0.91823,                0.43233,                0.43873,                0.84257,              0.0002497,              0.0002497,              0.0002497
                      3,                0.52752,                0.64886,                0.90206,                0.99781,                      1,                  0.995,                0.94591,                0.35237,                0.46724,                 0.8353,             0.00036832,             0.00036832,             0.00036832
                      4,                 0.5362,                0.65107,                0.89288,                0.99758,                      1,                  0.995,                0.92961,                0.37819,                0.46801,                0.83914,             0.00047585,             0.00047585,             0.00047585
                      5,                0.61464,                0.65712,                0.92046,                0.99787,                      1,                  0.995,                0.92358,                0.38981,                0.47165,                0.83864,             0.00057229,             0.00057229,             0.00057229
                      6,                0.60101,                0.64412,                0.93154,                0.99798,                      1,                  0.995,                0.92973,                0.40111,                0.47924,                0.83901,             0.00065764,             0.00065764,             0.00065764
                      7,                0.53251,                0.64723,                 0.8934,                0.99827,                      1,                  0.995,                 0.8904,                 0.4643,                0.48589,                0.84173,              0.0007319,              0.0007319,              0.0007319
                      8,                0.55965,                0.64113,                 0.9168,                0.99763,                      1,                  0.995,                0.91296,                0.45651,                0.49702,                0.84296,             0.00079508,             0.00079508,             0.00079508
                      9,                0.59873,                0.62718,                0.89247,                0.99294,                      1,                  0.995,                0.93407,                0.41615,                0.58697,                 0.8421,             0.00084717,             0.00084717,             0.00084717
                     10,                0.54218,                0.59471,                0.90557,                0.99276,                      1,                  0.995,                0.87849,                0.50535,                0.64114,                0.87591,             0.00088817,             0.00088817,             0.00088817
                     11,                0.58741,                0.60574,                 0.9259,                 0.9635,                      1,                  0.995,                0.88258,                0.50166,                0.59696,                0.86355,             0.00091808,             0.00091808,             0.00091808
                     12,                0.56739,                0.60203,                0.88529,                0.99712,                      1,                  0.995,                0.90458,                0.41307,                0.41058,                0.83873,              0.0009369,              0.0009369,              0.0009369
                     13,                 0.5765,                0.58406,                0.91696,                0.99685,                      1,                  0.995,                0.92093,                0.39755,                 0.3999,                0.82996,             0.00094464,             0.00094464,             0.00094464
                     14,                0.51814,                0.56402,                0.90034,                0.99791,                      1,                  0.995,                0.92819,                 0.3816,                0.32534,                0.83229,             0.00094129,             0.00094129,             0.00094129
                     15,                0.53485,                0.54589,                0.89473,                0.99837,                      1,                  0.995,                0.92864,                0.42043,                0.34388,                0.84917,              0.0008912,              0.0008912,              0.0008912
                     16,                0.51803,                0.53797,                0.87037,                0.99849,                      1,                  0.995,                0.92869,                0.41211,                0.34007,                0.84186,               0.000812,               0.000812,               0.000812
                     17,                0.52709,                 0.5483,                0.89157,                0.99868,                      1,                  0.995,                0.91908,                0.41636,                0.32672,                0.83911,              0.0007328,              0.0007328,              0.0007328
                     18,                0.54819,                  0.533,                0.88899,                0.99874,                      1,                  0.995,                0.91475,                0.43242,                0.31254,                0.84535,              0.0006536,              0.0006536,              0.0006536
                     19,                  0.465,                0.48408,                0.86549,                0.99856,                      1,                  0.995,                 0.9215,                0.43428,                0.33481,                0.85272,              0.0005744,              0.0005744,              0.0005744
                     20,                0.53565,                0.49472,                0.88253,                0.99832,                      1,                  0.995,                 0.9234,                 0.4153,                0.32255,                 0.8464,              0.0004952,              0.0004952,              0.0004952
                     21,                0.48966,                0.48697,                0.87581,                0.99836,                      1,                  0.995,                 0.9091,                0.41132,                0.31621,                0.84259,               0.000416,               0.000416,               0.000416
                     22,                0.46806,                0.47168,                0.85417,                0.99832,                      1,                  0.995,                0.91074,                0.38149,                0.30014,                 0.8388,              0.0003368,              0.0003368,              0.0003368
                     23,                0.45157,                0.45568,                0.83994,                0.99831,                      1,                  0.995,                0.91632,                0.34227,                  0.277,                0.83176,              0.0002576,              0.0002576,              0.0002576
                     24,                0.48862,                0.49582,                 0.8749,                0.99831,                      1,                  0.995,                0.92915,                0.33754,                0.26858,                0.83004,              0.0001784,              0.0001784,              0.0001784
                     25,                0.45364,                0.45105,                0.83727,                0.99829,                      1,                  0.995,                0.93804,                0.34119,                0.27284,                0.82986,               9.92e-05,               9.92e-05,               9.92e-05
