                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7021,                 0.4603,                0.99142,                 0.9986,                      1,                  0.995,                0.87572,                0.58463,                0.29133,                0.96501,               0.001307,               0.001307,               0.001307
                     37,                0.70469,                 0.4487,                 1.0007,                0.99886,                      1,                  0.995,                0.87841,                0.58572,                 0.2979,                0.96086,              0.0012872,              0.0012872,              0.0012872
                     38,                0.69907,                0.44435,                0.99501,                0.99864,                      1,                  0.995,                0.88619,                0.60203,                0.29229,                0.98575,              0.0012674,              0.0012674,              0.0012674
                     39,                0.70088,                0.45329,                0.98944,                0.99849,                      1,                  0.995,                0.86655,                0.68201,                0.31629,                 1.0088,              0.0012476,              0.0012476,              0.0012476
                     40,                0.65576,                0.43407,                0.97373,                0.99839,                      1,                  0.995,                0.85849,                0.62529,                0.31087,                0.97437,              0.0012278,              0.0012278,              0.0012278
                     41,                0.61365,                 0.4114,                0.95306,                0.99889,                      1,                  0.995,                0.89229,                 0.4962,                0.27369,                0.91836,               0.001208,               0.001208,               0.001208
                     42,                0.65276,                0.41736,                0.96883,                0.99937,                      1,                  0.995,                 0.8731,                0.57395,                0.28934,                0.95405,              0.0011882,              0.0011882,              0.0011882
                     43,                0.65952,                0.41749,                0.96891,                      1,                0.99966,                  0.995,                0.88898,                0.54466,                0.28118,                0.94951,              0.0011684,              0.0011684,              0.0011684
                     44,                0.62047,                 0.3858,                0.96381,                0.99899,                      1,                  0.995,                 0.8899,                0.51928,                0.26506,                0.92254,              0.0011486,              0.0011486,              0.0011486
                     45,                0.60564,                0.39557,                0.94857,                0.99871,                      1,                  0.995,                0.89187,                0.52001,                0.28567,                0.94005,              0.0011288,              0.0011288,              0.0011288
                     46,                0.60448,                0.40211,                0.95311,                      1,                0.99918,                  0.995,                0.89957,                0.53421,                0.30061,                  0.929,               0.001109,               0.001109,               0.001109
                     47,                0.61004,                0.39531,                 0.9485,                 0.9989,                      1,                  0.995,                0.88268,                0.51067,                0.27068,                0.93089,              0.0010892,              0.0010892,              0.0010892
                     48,                0.60879,                0.39524,                0.95705,                0.99875,                      1,                  0.995,                0.89841,                0.51979,                 0.2715,                0.94686,              0.0010694,              0.0010694,              0.0010694
                     49,                0.59006,                0.38297,                0.94356,                0.99968,                      1,                  0.995,                0.89164,                 0.5363,                0.26444,                0.93423,              0.0010496,              0.0010496,              0.0010496
                     50,                0.61874,                0.41068,                0.95858,                 0.9986,                      1,                  0.995,                0.87769,                0.56401,                0.27843,                 0.9536,              0.0010298,              0.0010298,              0.0010298
                     51,                0.59821,                 0.3923,                0.95801,                      1,                0.99934,                  0.995,                0.90394,                0.48247,                0.26974,                0.92027,                0.00101,                0.00101,                0.00101
                     52,                0.59824,                 0.3963,                 0.9461,                0.99885,                      1,                  0.995,                0.89934,                0.49254,                0.25729,                0.91105,              0.0009902,              0.0009902,              0.0009902
                     53,                0.59029,                0.39642,                 0.9443,                0.99866,                      1,                  0.995,                0.90941,                0.46843,                0.26546,                 0.9119,              0.0009704,              0.0009704,              0.0009704
                     54,                0.57912,                 0.3782,                0.94275,                0.99858,                      1,                  0.995,                0.91259,                0.48871,                0.25581,                0.92311,              0.0009506,              0.0009506,              0.0009506
                     55,                0.56492,                0.37538,                0.94054,                      1,                0.99843,                  0.995,                0.90345,                0.44325,                0.25442,                  0.901,              0.0009308,              0.0009308,              0.0009308
                     56,                0.56238,                0.35391,                0.94337,                0.99883,                      1,                  0.995,                0.89694,                0.51239,                0.26927,                0.92534,               0.000911,               0.000911,               0.000911
                     57,                 0.5616,                0.36321,                0.92521,                      1,                0.99935,                  0.995,                0.89152,                0.53285,                0.26744,                0.93087,              0.0008912,              0.0008912,              0.0008912
                     58,                  0.546,                0.36455,                0.92616,                0.99964,                      1,                  0.995,                0.91254,                 0.5511,                0.27298,                0.93848,              0.0008714,              0.0008714,              0.0008714
                     59,                0.55507,                0.36033,                0.92909,                0.99925,                      1,                  0.995,                 0.9116,                0.48423,                0.24745,                0.91859,              0.0008516,              0.0008516,              0.0008516
                     60,                0.54883,                0.36607,                0.93787,                0.99897,                      1,                  0.995,                0.91493,                0.50835,                 0.2493,                0.92089,              0.0008318,              0.0008318,              0.0008318
                     61,                0.52509,                0.35054,                0.91926,                0.99867,                      1,                  0.995,                 0.8937,                0.50578,                0.24494,                0.91578,               0.000812,               0.000812,               0.000812
                     62,                0.51588,                0.33962,                0.91634,                      1,                0.99938,                  0.995,                0.92873,                0.48786,                0.25642,                0.91743,              0.0007922,              0.0007922,              0.0007922
                     63,                0.55546,                0.35353,                0.93161,                      1,                0.99806,                  0.995,                0.89935,                0.50807,                0.26498,                0.91924,              0.0007724,              0.0007724,              0.0007724
