                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56174,                0.92786,                0.91687,                0.99791,                      1,                  0.995,                0.89427,                0.45077,                0.57285,                0.88831,                0.00012,                0.00012,                0.00012
                      2,                0.53723,                0.87342,                0.88182,                0.99812,                      1,                  0.995,                0.88103,                0.45786,                0.55326,                0.89476,              0.0002497,              0.0002497,              0.0002497
                      3,                0.55882,                0.90125,                0.90695,                0.99802,                      1,                  0.995,                0.86192,                0.59178,                0.60845,                0.95277,             0.00036832,             0.00036832,             0.00036832
                      4,                0.65767,                0.94735,                0.97419,                0.99739,                      1,                  0.995,                0.87061,                0.54036,                0.59881,                0.92631,             0.00047585,             0.00047585,             0.00047585
                      5,                0.63612,                0.93357,                0.93625,                      1,                0.99363,                  0.995,                0.84416,                 0.6281,                0.61196,                0.95133,             0.00057229,             0.00057229,             0.00057229
                      6,                0.65152,                0.95956,                0.93419,                0.95902,                0.89286,                0.89132,                0.80628,                0.61368,                0.82867,                 0.9924,             0.00065764,             0.00065764,             0.00065764
                      7,                0.58975,                0.87848,                0.90162,                0.96703,                0.89286,                0.89532,                0.77171,                0.61345,                0.84271,                 1.0103,              0.0007319,              0.0007319,              0.0007319
                      8,                0.62056,                0.87493,                0.92625,                0.99186,                0.89286,                0.94026,                0.82122,                0.56598,                0.74786,                0.97491,             0.00079508,             0.00079508,             0.00079508
                      9,                0.56722,                0.87227,                0.89183,                0.99637,                      1,                  0.995,                0.86251,                0.57223,                 0.5603,                 0.9686,             0.00084717,             0.00084717,             0.00084717
                     10,                0.63359,                 0.8301,                0.95694,                0.96232,                      1,                0.99397,                0.86674,                0.58935,                0.60852,                0.97972,             0.00088817,             0.00088817,             0.00088817
                     11,                 0.6047,                0.80663,                0.92851,                0.99562,                      1,                  0.995,                0.85893,                0.61277,                0.62471,                0.98018,             0.00091808,             0.00091808,             0.00091808
                     12,                0.61969,                0.78602,                0.93269,                0.99723,                      1,                  0.995,                0.86487,                0.59137,                0.59002,                0.96703,              0.0009369,              0.0009369,              0.0009369
                     13,                 0.5594,                0.71995,                0.87107,                0.96049,                      1,                0.99397,                0.87333,                0.59415,                0.57513,                0.96381,             0.00094464,             0.00094464,             0.00094464
                     14,                0.59001,                0.73156,                0.93048,                0.99567,                      1,                  0.995,                0.86311,                0.61097,                0.56696,                0.96569,             0.00094129,             0.00094129,             0.00094129
                     15,                 0.6416,                0.76558,                0.90366,                0.99108,                      1,                  0.995,                0.85202,                0.63107,                0.57141,                0.97696,              0.0008912,              0.0008912,              0.0008912
                     16,                 0.5721,                0.74102,                0.91521,                0.99567,                      1,                  0.995,                0.86952,                0.62647,                0.57326,                0.97067,               0.000812,               0.000812,               0.000812
                     17,                0.52425,                0.68714,                0.89293,                0.99498,                      1,                  0.995,                0.87846,                 0.5882,                0.57219,                0.96221,              0.0007328,              0.0007328,              0.0007328
                     18,                0.54476,                0.68919,                 0.9118,                0.99849,                      1,                  0.995,                0.89484,                0.53826,                0.57711,                0.96147,              0.0006536,              0.0006536,              0.0006536
                     19,                0.52756,                0.67902,                  0.893,                      1,                0.99777,                  0.995,                0.88663,                0.53606,                0.53303,                0.95691,              0.0005744,              0.0005744,              0.0005744
                     20,                0.52104,                0.65249,                0.85855,                      1,                0.95975,                0.99397,                 0.8721,                 0.5671,                0.52539,                0.95595,              0.0004952,              0.0004952,              0.0004952
                     21,                0.54338,                0.69637,                0.87361,                 0.9647,                      1,                  0.995,                0.85293,                0.56694,                0.52912,                0.95243,               0.000416,               0.000416,               0.000416
                     22,                0.47244,                0.61895,                0.87034,                0.95818,                      1,                0.99397,                0.85672,                0.54794,                0.52178,                  0.944,              0.0003368,              0.0003368,              0.0003368
                     23,                 0.4685,                0.62048,                0.83336,                      1,                 0.9854,                  0.995,                0.87233,                0.51834,                0.50762,                0.93318,              0.0002576,              0.0002576,              0.0002576
                     24,                0.46893,                0.60929,                0.87206,                0.99768,                      1,                  0.995,                0.86819,                0.50277,                0.48576,                0.92502,              0.0001784,              0.0001784,              0.0001784
                     25,                 0.4466,                0.58573,                0.85181,                 0.9977,                      1,                  0.995,                0.87031,                0.49898,                0.47577,                0.92246,               9.92e-05,               9.92e-05,               9.92e-05
